civ_slug,title,year,kind,summary,tags
roman,Julius Caesar Assassinated,-44,politics,"Ides of March; turning point in Roman politics","rome,assassination"
roman,Augustus Becomes Princeps,-27,politics,"Start of Principate and Pax Romana","rome,imperial"
roman,Edict of Milan,313,religion,"Religious toleration in the Roman Empire","christianity,edict"
roman,Division of the Empire,395,politics,"Permanent split into Western and Eastern Empires","division"
roman,Fall of Western Empire,476,politics,"Deposition of Romulus Augustulus","collapse"

han,Paper Invented,105,tech,"Attributed to Cai Lun; transformative medium","paper,tech"
han,Silk Road Flourishes,-130,economy,"Overland trade networks expand","trade,silk-road"
han,Reign of Emperor Wu,-141,politics,"Territorial expansion; Confucian state","confucianism,expansion"
han,Seismometer Invented,132,tech,"Zhang Heng’s device detects earthquakes","science,instrument"
han,End of Western Han,9,politics,"Interruption by Xin dynasty","dynastic-shift"

mauryan,Chandragupta Founds Empire,-322,politics,"Unifies northern India","unification"
mauryan,Ashoka’s Kalinga War,-261,war,"Leads to Ashoka’s embrace of Buddhism","buddhism,edict"
mauryan,Ashoka’s Edicts,-250,religion,"Rock and pillar edicts spread dharma","edicts,policy"
mauryan,Arthashastra Compiled,-300,economy,"Treatise on statecraft & economy (traditional dating)","treatise"
mauryan,Empire Fragmentation,-185,politics,"Decline after Ashoka","decline"

akemenid,Cyrus the Great Rises,-550,war,"Founds the Achaemenid Empire","founding"
akemenid,Conquest of Babylon,-539,war,"Cyrus captures Babylon","conquest"
akemenid,Royal Road Built,-500,economy,"Courier/road network improves admin","infrastructure"
akemenid,Greco-Persian Wars Begin,-499,war,"Ionian Revolt sparks conflicts","war,greece"
akemenid,Persepolis Constructed,-515,culture,"Ceremonial capital built","architecture"

ptolemaic,Library of Alexandria Grows,-280,culture,"Scholarly center of Hellenistic world","library"
ptolemaic,Rosetta Stone Carved,-196,culture,"Decree of Memphis; key to hieroglyphs","language"
ptolemaic,Rule of Cleopatra VII,-51,politics,"Final Ptolemaic ruler","cleopatra"
ptolemaic,Battle of Actium,-31,war,"Octavian defeats Antony & Cleopatra","naval"
ptolemaic,Annexation by Rome,-30,politics,"Egypt becomes a Roman province","annexation"

olmec,Colossal Heads Sculpted,-900,culture,"Iconic basalt heads","art"
olmec,San Lorenzo Peak,-1200,culture,"Major ceremonial center","urbanism"
olmec,La Venta Flourishes,-900,culture,"Pyramid and complex","architecture"
olmec,Trade in Jade & Obsidian,-1000,economy,"Regional exchange networks","trade"
olmec,Decline of La Venta,-400,politics,"Site abandonment","decline"

maya,Long Count Adopted,-36,tech,"Calendar system formalized","calendar,math"
maya,Classic Period Begins,250,culture,"Urban growth; monumental art","classic"
maya,Tikal-Calakmul Rivalry,600,war,"Great power rivalry","rivalry"
maya,Chichén Itzá Flourishes,900,culture,"Postclassic hub","architecture"
maya,Spanish Contact,1517,war,"Conquest period begins","contact"

inca,Cusco Expands,1400,politics,"Imperial administration from Cusco","admin"
inca,Mit’a Labor System,1450,economy,"State labor obligations","economy"
inca,Qhapaq Ñan Network,1500,economy,"Road system across Andes","roads"
inca,Reign of Huayna Capac,1493,politics,"Peak territorial extent","expansion"
inca,Spanish Conquest,1532,war,"Pizarro’s campaign","conquest"

song,Movable-Type Printing,1040,tech,"Bi Sheng’s ceramics type","printing"
song,Gunpowder Weaponization,904,tech,"Early military use","gunpowder"
song,Paper Money Issued,1020,economy,"Jiaozi in Sichuan","money"
song,Neo-Confucianism Rises,1130,religion,"Zhu Xi synthesis","philosophy"
song,Conquest by Mongols,1279,war,"Yuan replaces Song","dynastic-shift"

gupta,Decimal & Zero,400,tech,"Mathematics advances","math"
gupta,Ajanta Caves Flourish,460,culture,"Buddhist art & frescoes","art"
gupta,Kalidasa’s Works,400,culture,"Classical Sanskrit literature","literature"
gupta,Iron Pillar of Delhi,415,tech,"Metallurgy feat","metallurgy"
gupta,Decline Under Huns,500,war,"Invasions weaken power","invasion"

sumer,First Cities Emerge,-4000,culture,"Uruk period urbanization","urban"
sumer,Cuneiform Writing,-3200,tech,"Earliest writing system","writing"
sumer,Ziggurats Built,-3000,culture,"Monumental temples","architecture"
sumer,Standard of Ur,-2600,culture,"War & peace panels","art"
sumer,Sargon’s Conquests,-2334,war,"Akkadian takeover","akkad"

axum,Adopts Christianity,330,religion,"King Ezana converts","religion"
axum,Own Coinage,270,economy,"Gold and silver coins","mint"
axum,Red Sea Trade,350,economy,"Hub between Africa & Arabia","trade"
axum,Ge’ez Inscriptions,400,culture,"Royal inscriptions","scripts"
axum,Decline of Aksum,900,politics,"Shift inland; decline","decline"
